RadioRA 2 Integration Report

Device Room, Device Location, Device name, Model, ID, Component, Component Number, Name
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86
, , , , , Led 7, 87

Main, NicheWall, Control-DiningKpad (1), RRD-H6BRL-WH, 38
, , , , , Button 1, 1, Kit Cook
, , , , , Button 2, 2, Main Play
, , , , , Button 3, 3, Main Party
, , , , , Button 4, 4, Main Chill
, , , , , Button 5, 5, Main TV
, , , , , Button 6, 6, Niche
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Den, KitchenSliderRight, Control-LanaiKpad (3), RRD-H6BRL-WH, 41
, , , , , Button 1, 1, Lanai Play
, , , , , Button 2, 2, Lanai Party
, , , , , Button 3, 3, Lanai Chill
, , , , , Button 4, 4, Lanai TV
, , , , , Button 5, 5, Lanai Off
, , , , , Button 6, 6, Pendants
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Den, GarageEntry, Control-GarageKpad (2), RRD-H6BRL-WH, 44
, , , , , Button 1, 1, AUTO
, , , , , Button 2, 2, AWAY
, , , , , Button 3, 3, PARTY
, , , , , Button 4, 4, CHILL
, , , , , Button 5, 5, Kit Cook
, , , , , Button 6, 6, Hall
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Primary, PrimSlider, Control-PrimarySliderKpad (2), RRD-W6BRL-WH, 46
, , , , , Button 1, 1, Room Chill
, , , , , Button 2, 2, Room TV
, , , , , Button 3, 3, Room Off
, , , , , Button 4, 4, Lanai Chill
, , , , , Button 5, 5, Lanai Off
, , , , , Button 6, 6, Spots
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

LhsBdrm, Bedside, LhsBdrm-TablePico, PJ2-3BRL-GWH-L01, 48
